jobtitle,description,extracted_skills,top_5_similar_jobs,top_5_similar_scores
speech_language_pathologist,"<strong>Job Description</strong><p><br/></p>We have partnered with a wonderful nonprofit organization that is looking for an experienced Speech Language Pathologist in Eagan, Hutchinson, Cambridge, and Virginia MN to join their team for an amazing opportunity.<p><br/></p>The Speech Language Pathologist will be responsible for identifying, assessing, and providing treatment for children with speech, language, social communication, cognitive communication, and swallowing disorders.<p><br/></p><strong>Requirements</strong><p><br/></p>The employee must possess a Master’s degree in Speech-Language Pathology or Communication Disorders.<p><br/></p>The employee must possess a current license to practice Speech-Language Pathology through the Minnesota Department of Health.<p><br/></p>An employee with a Certificate of Clinical Competence (CCC) is preferred by the American Speech-Language-Hearing Association. However, will highly consider a Certificate of Clinical Competence as a Clinical Fellow with supervision available.<p><br/></p><strong>Prior Autism And Pediatric Experience Preferred.</strong><p><br/></p>This organization is looking for a self-starter who is hard-working, dedicated, honest, loyal, decisive, and personable to take over this position. To find out more, apply below or respond with your resume to kevin.jackson@gogpac.com<p><br/></p><strong>QUALIFIED CANDIDATES ONLY PLEASE. NO SPONSORSHIPS.</strong><p><br/></p>All qualified applicants will receive consideration without regard to race, age, color, sex (including pregnancy), religion, national origin, disability, sexual orientation, gender identity, marital status, military status, genetic information, or any other status protected by applicable laws or regulations. GPAC (Growing People and Companies) is an award-winning search firm specializing in placing quality professionals within multiple industries across the United States since 1990. We are extremely competitive, client-focused and realize that our value is in our ability to deliver the right solutions at the right time.","Speech-Language Pathology, speech disorders, language disorders, social communication disorders, cognitive communication disorders, swallowing disorders, pediatric care, autism treatment, child assessment, treatment planning, clinical competence, self-starter","speech_language_pathologist, student_teacher, board_certified_behavior_analyst_bcba, behavior_analyst_bcba, speech_language_pathologist","0.715, 0.632, 0.581, 0.580, 0.565"
nursery_room_manager,"Our client is a leading ethical childcare provider dedicated to providing the best possible care and education for all children. They operate nationwide; constantly investing in their people and facilities to ensure their nurseries are the best places for children to grow and develop. Our client’s goal is to offer children an amazing educational experience from birth to pre-school, their most formative years. They focus on every unique child and our highly skilled and qualified teams provide the very best early year’s experience in a safe and stimulating environment. Our client is looking to recruit a Nursery Room Leader. Nursery Room Leader A qualified nursery professional responsible for the day to day running of an allocated area or room within the nursery. You must be NVQ level 3 qualified or equivalent. An important role in training and developing staff by imparting knowledge and skills. You will be required to ensure the children are cared for in a happy, safe and stimulating environment. You will also need to have a sound understanding of a child’s developmental requirements and to provide a range of stimulating learning experiences designed to meet children’s all round development. Successful Nursery Room Leader will be required to undertake an enhanced DBS check","NVQ level 3 qualification, childcare, early childhood education, child development, staff training, staff development, mentoring, curriculum planning, learning experience design, developmental assessment, safeguarding, classroom management, early years framework, DBS check","toddler_lead_teacher, room_leader_diploma_qualified, children_home_registered_manager, oshc_coordinator_rosanna_golf_links_primary_school, temporary_pre_school_nursery_assistant","0.764, 0.702, 0.655, 0.648, 0.643"
hoffman_estates_high_school_level_american_history_certified_teacher,"Hoffman Estates High School Level American History Certified Teacher Jobs<br/><br/>Varsity Tutors for Schools is partnering with school districts across the country to provide equitable access to high-dosage tutoring for all students through the Varsity Tutors platform. As a school tutor on the Varsity Tutors platform, you can provide consistent personalized learning in an effort to close both the learning and the opportunity gap.<br/><br/>Why join our platform?<br/><ul><li>Enjoy competitive rates and get paid up to 2x per week. </li><li>Choose to tutor as much or as little as you want. </li><li>Get paired with students best-suited to your teaching style and preferences (from thousands of potential clients). </li><li>Reach underserved communities through our partnerships with school districts. </li><li>Tutor online (i.e. work remotely) using Varsity Tutors’ purpose-built Live Learning Platform. </li><li>Students can take adaptive assessments through the platform and share results to help you decide where to focus. <br/></li></ul><strong><u>What We Look For In a School Tutor<br/></u></strong><ul><li>You are a currently certified teacher or have held a teaching certification in the past. Certification can be from any state. </li><li>You are comfortable working with students who might be struggling or one to two grade levels behind. </li><li>You have excellent communication skills and a friendly, approachable personality. </li><li>You have the ability to personalize lessons for each student. <br/></li></ul>Discover all the ways you can reach students through the online platform:<br/><ul><li>Explore options like 1-on-1 Online Tutoring, Small Group Classes, VT+ Classes, Large Live Classes, School@Home, and Instant Tutoring. <br/></li></ul><strong><u>About Varsity Tutors<br/><br/></u></strong>Our mission is to transform the way people learn. We do this by leveraging advanced technology, AI, and the latest in learning science to facilitate a personalized learning experience.","American History, teaching, online tutoring, remote teaching, personalized learning, adaptive assessments, communication, lesson customization, small group instruction, large group instruction, virtual classroom management","siloam_springs_middle_school_reading_certified_teacher, opelousas_elementary_school_certified_teacher, frankfort_elementary_school_writing_certified_teacher, miami_elementary_school_reading_instructor, mountain_brook_coding_tutor","0.824, 0.821, 0.821, 0.790, 0.785"
class,"Interaction Recruitment are currently looking for Class 2 drivers to join their team for clients around the Milton Keynes area.<br/><br/>We have multiple contracts that are looking for drivers on a day to day basis.<br/><br/>Start times are from 06:00am and shift times vary but around 9-11 hours.<br/><br/>Monday - Friday shifts avaialble with the occasional weekend work.<br/><br/>Rates start from £14.00 per hour with overtime paid at higher rates.<br/><br/>if you are interested, please contact Jamie White at Interaction MK on 01908 669661 or apply within.",Class 2 driving license,"class_driver, cdl_truck_driver_job_lancaster_pa, team_regional_class_home_every_weekend, cdl_delivery_driver_full_benefits, cdl_class_driver_velez_trucking_service_inc","0.570, 0.553, 0.482, 0.455, 0.455"
hiring_support_merchandiser_chesapeake_va,"<strong>Job Description<br/><br/></strong>American Greetings is a global leader in the Celebrations marketplace.<br/><br/>Celebrate with us and join our team today!<br/><br/>As a Support Merchandiser with American Greetings, you are a vital part of our company’s purpose: helping people celebrate holidays, each other, and all of life’s special moments, by making the world a more thoughtful and caring place every single day. We are looking for merchandisers to service the American Greetings Department in retail locations.<br/><br/><ul><li> The starting pay is $12.60 per hour with two increases during the first year of employment (the listed rates are subject to change based on work location).</li><li> After 6 months of employment the pay rate will increase to $13.30.</li><li> After 1 year of continued employment the pay rate will increase to $14.00.</li><li> We offer flexible work scheduling.</li><li> We provide paid training.<br/><br/></li></ul>This route will service the following retail locations: Walmart, 2448 Chesapeake Square Ring Rd, Chesapeake, VA, 23321 and Target, 4200 Portsmouth Blvd.<br/><br/>The weekly average hours are 10 hours per week. The weekly hours may increase to an average of 15 hours per week around holidays. Additional support may be needed in the territory with required availability multiple days in succession and increased hours per day if applicable to business and project-based assignments.<br/><br/><strong>Primary Responsibilities<br/><br/></strong><ul><li> Merchandise and maintain all product displays within the greeting card department as well as other areas of the store as needed.</li><li> Work in a fast paced retail environment utilizing your effective time management skills.</li><li> Partner and build relationships with retail store associates and management during daytime retail business hours.</li><li> Use a company provided tablet to perform basic job functions, such as reviewing weekly service and tasks, inventory functions, time entry, etc.<br/><br/></li></ul><strong>Experience Required<br/><br/></strong>No Experience Necessary! We will train you!<br/><br/><strong>Qualifications<br/><br/></strong><ul><li> 18 years or older</li><li> Ability to lift up to 40 pounds with or without reasonable accommodation</li><li> Access to reliable transportation as most routes have multiple retail locations</li><li> Access to reliable internet to receive critical job information and updates</li><li> Meet scheduling needs - Occasional weekends, the day before and after major holidays as needed (e.g., Valentine's Day, Easter, Mother's Day, Father's Day, Halloween, Thanksgiving, and Christmas)<br/><br/></li></ul>American Greetings priority is the health safety of all our employees, and we are taking extra precautions to make sure all associates follow all federal, state, and local safety guidelines.<br/><br/>This company is an equal opportunity employer and makes employment decisions without regard to race, gender, disability or protected veteran status. EOE M/F/disability/vet VEVRAA Federal Contractor.<br/><br/>Related Backgrounds &amp; Industries: Retail, Customer Service, Merchandising, Part-time, Merchandiser, Stocker, #merchandiser<br/><br/><strong>Career Site Category<br/><br/></strong>Part-Time Merchandiser Jobs","merchandising, time management, relationship building, tablet use, inventory management, lifting, retail operations, customer service, stocking","retail_merchandiser, stocking_unloading, claire_part_time_mobile_merchandiser_kirkwood_mo, full_time_nabisco_sales_service_representative_merchandiser_order_writer, vending_attendant_part_time","0.786, 0.786, 0.765, 0.763, 0.759"
ed_travel_nurse_rn_emergency_department_per_week,"Lead Healthstaff is seeking a travel nurse RN ED - Emergency Department for a travel nursing job in THOUSAND OAKS, California.<br/><br/><strong><u>Job Description &amp; Requirements<br/></u></strong><ul><li>Specialty: ED - Emergency Department</li><li>Discipline: RN</li><li>Start Date: 09/27/2021</li><li>Duration: 13 weeks</li><li>36 hours per week</li><li>Shift: 12 hours, nights</li><li>Employment Type: Travel<br/></li></ul>We need a <strong>Emergency Room</strong> Travel RN to make a positive impact on patient care!<br/><br/>$<strong>2356.28</strong> Estimated Gross Weekly!<br/><br/>There are Travel Nurses and then there are Travel Lead-ers! Lead Healthstaff is here to help you lead the charge forward in your healthcare career. Your needs, your preferences, and your desires matter above all else as we curate the perfect assignment options for you. Escape hospital politics for a high-paying and flexible lifestyle with low stress and full benefits.<br/><br/>Join the Traveler Tribe today!<br/><br/>Travel Nurse, Super Hero, Traveler, Contract Nurse - whatever you like to be called, Lead has the perfect position for you! We are looking for a Emergency Room Registered Nurse (RN) for our client in Thousand Oaks, California. They need a Travel RN to work 12hr Nights, 36hrs per week. You`ll earn an estimated $2356.28 gross weekly. The position starts on 09/27/2021 and lasts for 13 weeks.<br/><br/>**You’ve seen the high pay and flexibility, now here are the exceptional benefits! **<br/><ul><li>Weekly Pay</li><li>Medical, Dental, and Vision</li><li>401k</li><li>Free Professional Liability Insurance</li><li>Pre-Tax Per Diem Allowance</li><li>Travel, Licensure, and Certification Reimbursements</li><li>Loyalty and Referral Rewards</li><li>Please note the robots help maintain our job postings by talking with other robots. As you might expect, the robots aren`t the best communicators, and at times they make errors. That said, we teach them new things everyday, and are consistently proud of their progress!<br/></li></ul>Lead Healthstaff Job ID #16145. Pay package is based on 12 hour shifts and 36 hours per week (subject to confirmation) with tax-free stipend amount to be determined. Posted job title: RN - Emergency Room<br/><br/><strong><u>Benefits<br/></u></strong><ul><li>Weekly pay</li><li>Holiday Pay</li><li>Guaranteed Hours</li><li>Continuing Education</li><li>Sick pay</li><li>Wellness and fitness programs</li><li>Referral bonus</li><li>Employee assistance programs</li><li>Medical benefits</li><li>Dental benefits</li><li>Vision benefits</li><li>Benefits start day 1</li></ul>","emergency department, emergency room, registered nurse, RN, night shift, travel nursing","travel_rn_ed_emergency_department, travel_nurse_rn_ed_emergency_department_per_week, travel_rn_ed_emergency_department, ed_travel_nurse_rn_emergency_department_per_week, rn_registered_nurse_er_emergency_room_expplat","0.983, 0.973, 0.954, 0.952, 0.862"
store_cashier,"We are looking for a Cashier to join our team!<br/><br/><strong>Duties And Responsibilities<br/></strong><ul><li>Work in a fun, trusting environment focused on great customer service</li><li>Serving each customer courteously, quickly and efficiently with a sincere, positive, pleasant and enthusiastic attitude</li><li>Processing transactions of customers on a computerized POS register; maintain a clean, well-stocked food and beverage area; clean and stock merchandise</li><li>Prioritize your work according to the store and management needs</li><li>Know and follow safety guidelines and report potentially unsafe situations caused by employees and customers</li><li>Practice continual communication with store managers and co-workers</li><li>Perform other job related duties as assigned<br/><br/></li></ul><strong>Qualifications<br/></strong><ul><li>A dedicated individual who works well with others and is excited to be part of our team!</li><li>Customer service experience</li><li>Experience working in a retail or restaurant environment</li><li>Meet the requirements for the needed physical tasks with or without accommodation<br/><br/></li></ul><strong>Pay Range<br/><br/></strong>$0.00 - 0.00 per hour<br/><br/>Our travel centers serve thousands every day; not one traveler is the same and our team must reflect that. We can ""return every traveler to the road better than they came"" only by understanding and celebrating individualism. TravelCenters of America is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless race, color, religion, creed, national or ethnic origin, age, marital status, familial status, ancestry, sex, gender, pregnancy, gender identity or expression, sexual orientation, mental or physical disability, handicap, military service or Veteran status, genetic information or membership in any other category protected by applicable federal, state or local law. At TravelCenters of America, we invite everyone to make themselves at home.","cashier, customer service, POS register operation, inventory management, stocking, safety compliance, communication, retail experience, restaurant experience","customer_service_representative, cashier_university_arizona, customer_service_representative, bakery_outlet_clerk, lead_sales_associate_ft","0.826, 0.810, 0.800, 0.791, 0.790"
senior_associate_assurance,"<strong>PwC Malaysia<br/><br/></strong><strong>Description<br/><br/></strong>Whether you’ve just graduated or have years of experience, this is a firm where you can learn and grow.<br/><br/>It’s the PwC experience that stays with you as you build strong networks and make lasting friendships. Be part of a larger team as we work together, drawing on everyone's knowledge and skills to reimagine the possible.<br/><br/>Join PwC today for the experience that stays with you.<br/><br/><strong>Job Description<br/><br/></strong>&amp; Summary<br/><br/>A career within External Audit services, will provide you with the opportunity to provide a range of Assurance services and business advice to a variety of clients from small, fast growing clients to large entities. Our clients are often well known brands and many have broad international reach. We focus on using the latest technology to reduce the level of manual testing ensuring you’ll focus on the most valuable areas of client service and on enhancing corporate governance and the reliability of our clients’ information.<br/><br/><strong>Responsibilities<br/><br/></strong>As a Senior Associate, you’ll work as part of a team of problem solvers with extensive consulting and industry experience, helping our clients solve their complex business issues from strategy to execution. Specific responsibilities include but are not limited to:<br/><ul><li>Proactively assist in the management of several clients, while reporting to Managers and above</li><li>Train and lead staff</li><li>Establish effective working relationships directly with clients</li><li>Contribute to the development of your own and team’s technical acumen</li><li>Keep up to date with local and national business and economic issues</li><li>Be actively involved in business development activities to help identify and research opportunities on new/existing clients</li><li>Continue to develop internal relationships and your PwC brand<br/></li></ul><strong>Requirements<br/></strong><ul><li>Degree in any discipline and/or a professional accounting qualification such as the ICAEW / ACCA / MICPA-CAANZ / CPA Australia</li><li>Minimum2 years of relevant experience in statutory and regulatory audits</li><li>Strong interpersonal, written and verbal communication skills</li><li>Possess good leadership skills and demonstrate resilience</li><li>Demonstrate ability to build meaningful relationships</li><li>Able to demonstrate analytical thinking and business acumen<br/></li></ul><strong><u>Additional Application Instructions<br/><br/></u></strong>Please attach the following documents along with your CV when you submit an online application:<br/><ul><li>Academic Certificates and Transcripts, from SPM (or equivalent) onwards</li><li>A copy of your NRIC or passport</li><li>Recent passport size photo</li></ul> <strong>Desired Languages <br/><br/></strong>English<br/><br/><strong><u>Travel Requirements<br/><br/></u></strong>Up to 80%<br/><br/><strong>Available for Work Visa Sponsorship?<br/><br/></strong>No<br/><br/><strong>Government Clearance Required?<br/><br/></strong>Yes<br/><br/>For further information, and to apply, please visit our website via the “Apply” button below.<br/><br/><strong>Candidates must be resident in Malaysia, or have the right to work in Malaysia.</strong>","External Audit, Assurance services, business advice, corporate governance, problem solving, client management, team leadership, business development, statutory audits, regulatory audits, interpersonal communication, written communication, verbal communication, leadership, relationship building, analytical thinking, business acumen","commercial_assurance_specialist_internal_audit, external_audit_senior_remote, private_korean_business_services_tax_manager, senior_business_banking_development_specialist_multiple_locations, customer_assurance_manager","0.773, 0.757, 0.730, 0.723, 0.722"
licensed_practical_nurse,"<br/><br/><strong>Location<br/><br/></strong>Walhalla, ND<br/><br/>Duration: 8-13 weeks<br/><br/><strong>Description<br/><br/></strong>Pembilier Nursing center<br/><br/>Facility Provided Housing<br/><br/>Facility provided housing - Fully furnished facility provided apartment<br/><br/>Cable, and coin laundry on site Apartment is attached to the building in the assisted living facility<br/><br/><strong><u>LPN Responsibilities<br/></u></strong><ul><li>Plans and manages patient care according to each patient's needs.</li><li>nterviews patients and records their medical history and physical condition.</li><li>Obtains patient vital signs, including pulse, blood pressure, temperature, and respiration.</li><li>Provides routine care for patients.</li></ul> As an equal opportunity employer, ICONMA prides itself on creating an employment environment that supports and encourages the abilities of all persons regardless of race, color, gender, age, sexual orientation, citizenship, or disability.","nursing, patient care, medical history taking, physical assessment, vital signs monitoring, routine care","travel_rn_med_surg, registered_nurse, dietary_aide, registered_nurse_rn, travel_nurse_rn_telemetry_per_week","0.839, 0.811, 0.806, 0.804, 0.798"
cnc_operator,"<ul><li>Description:* This candidate needs to be able to setup, run, change inserts and adjust offsets on the CNC Machine. They need to have experience on Mills or Lathes. The candidate will be measuring parts running stainless steel parts. They will on average complete 2 setups a day. *Company Selling Points:* 40 hour work weeks, no weekends<br/><br/></li></ul>Advancement opportunities Annual reviews and raises Clean and organized shop Family feel and laid back environment Low turnover<br/><br/>GREAT benefits and insurance. Company stock program that is typically around 10-12k a year for employees<br/><br/>About Aerotek:<br/><br/>We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions. Learn more at Aerotek.com. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.","CNC Machine operation, CNC setup, insert changes, offset adjustments, Mills experience, Lathes experience, part measurement, stainless steel machining","cnc_machinist, machine_assembler, press_brake_operator, welder_machinist, warehouse_worker","0.764, 0.698, 0.683, 0.677, 0.634"
